"CGY24.17"	"CGY29.01"	"CGY24.21"	"CGY20.46"	"CGY24.16"	"CGY20.50"	"CGY24.09"	"CGY28.53"	"CGY28.50"	"CGY28.49"	"CGY28.52"	"CGY20.55"
"ERCC-00002"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00003"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00004"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00007"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00009"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00012"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00013"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00014"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00016"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00017"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00018"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00019"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00022"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00023"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00024"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00025"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00028"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00031"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00033"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00034"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00035"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00039"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00040"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00041"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00042"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00043"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00044"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00046"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00048"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00051"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00053"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00054"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00057"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00058"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00059"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00060"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00061"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00062"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00067"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00069"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00071"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00073"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00074"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00075"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00076"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00077"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00078"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00079"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00081"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00083"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00084"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00085"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00086"	0	0	0	0	0	0	0	0	0	0	0	0
