"CGY24.17"	"CGY29.01"	"CGY20.46"	"CGY24.16"	"CGY20.50"	"CGY24.09"	"CGY28.50"	"CGY28.49"	"CGY28.52"	"CGY20.55"
"YAL069W"	0	0	0	1.00791823876256	0	0	0	0	0	1.85084758848988
"YAL068W-A"	0	0	0	0	0	0	0	0	0	0
"SUT848.1"	0	0	0	0	0	0	0	0	0	0
"MUT1.1"	0	0	0	0	0	0	0	0	0	0
"MUT24.1"	0	0	0	0	0	0	0	0	0	0
"MUT1.2"	0	0	0	0	0	0	0	0	0	0
"MUT1.3"	0	0	0	0	0	0	0	0	0	0
"MUT25.1"	0	0	0	0	0	0	0	0	0	0
"MUT25.2"	0	0	0	0	0	0	0	0	0	0
"YAL068C"	0	0	0	0	0	0	0	0	0	0
"YAL067W-A"	0	0	0	0	0	0	0	0	0	0
"MUT27.1"	0	0	0	0	0	0	0	0	0	0
"MUT6.1"	0	0	0	0	0	0	1.0364473317712	0	3.12855723109702	1.85084758848988
"SUT432"	0.899640109473036	0	2	0	0	1.11190791832444	0	0	0	1.85084758848988
"XUT_1R-2"	0	0	0	1.00791823876256	0	0	0	0	1.04285241036567	0
"SUT864.1"	0	0	0	0	0	0	0	0	0	0
"YAL067C"	0	0.893140924594269	4	0	0.977568259897672	0	2.07289466354239	0.980510067044702	1.04285241036567	1.85084758848988
"SUT001"	0	5.35884554756561	0	1.00791823876256	0.977568259897672	0	1.0364473317712	0.980510067044702	0	0
"chrI-0004-W"	0	0	0	0	0	1.11190791832444	0	0	0	0
"YAL066W"	0	0	0	0	0	0	0	0	0	0
"MUT8.1"	0	0	0	0	0	0	0	0	0	0
"MUT8.2"	0	0	0	0	0	0	0	0	0	0
"MUT8.3"	0	0	0	0	0	0	0	0	0	0
"CUT436"	0	0	0	0	0	0	0	0	0	0
"XUT_1F-1"	0	0	0	0	0.977568259897672	0	4.14578932708478	0	0	0
"possible_antisense_to_genes_YAL065C"	0	0.893140924594269	1	1.00791823876256	0	0	0	0.980510067044702	0	0
"YAL065C"	0	0	0	0	0	0	0	0	0	0
"YAL064W-B"	0	0.893140924594269	0	0	0	0	1.0364473317712	0	0	0.925423794244941
"possible_antisense_to_genes_YAL064C-A"	0	1.78628184918854	0	3.02375471628769	0	0	0	0	0	0
"XUT_1F-3"	2.69892032841911	0	0	0	0.977568259897672	2.22381583664887	2.07289466354239	0.980510067044702	1.04285241036567	0
"YAL064C-A"	0	0	0	0	0	0	0	0	0	0
"XUT_1F-4"	5.39784065683822	14.2902547935083	8	9.07126414886308	4.88784129948836	8.89526334659548	2.07289466354239	6.86357046931291	1.04285241036567	7.40339035395953
"MUT11.1"	0	0	0	0	0	0	0	0	0	0
"XUT_1R-5"	0	0.893140924594269	1	0	0	0	0	0.980510067044702	0	0
"SUT852.1"	0	0	0	0	0	0	0	0	0	0
"MUT28.1"	0.899640109473036	0.893140924594269	1	0	0	0	2.07289466354239	0	1.04285241036567	0.925423794244941
"SUT853.1"	0	0	0	0	0	0	0	0	0	1.85084758848988
"YAL064W"	0	0	0	0	0	0	0	0	0	0
"YAL063C-A"	0	0	0	0	0	0	0	0	0	0
"SUT866.1"	0	0.893140924594269	5	3.02375471628769	0.977568259897672	5.55953959162218	5.18223665885598	0.980510067044702	2.08570482073134	4.62711897122471
"YAL063C"	3.59856043789215	3.57256369837708	6	10.0791823876256	0.977568259897672	1.11190791832444	2.07289466354239	0.980510067044702	5.21426205182836	5.55254276546965
"XUT_1F-11"	0	0	0	0	0	0	0	0	0	0
"XUT_1F-12"	0	0.893140924594269	1	0	1.95513651979534	1.11190791832444	2.07289466354239	0.980510067044702	2.08570482073134	0
"XUT_1F-14"	0	4.46570462297135	1	2.01583647752513	0.977568259897672	0	3.10934199531359	1.9610201340894	1.04285241036567	0.925423794244941
"SUT866.2"	0	0	0	0	0	0	0	0	0	0
"SUT433"	0	0	0	0	0	1.11190791832444	0	1.9610201340894	0	0
"XUT_1R-16"	0	0	0	0	0	0	1.0364473317712	0	1.04285241036567	0
"MUT12.1"	0	0	0	0	0	0	0	0	0	0
"XUT_1F-15"	0	0	0	1.00791823876256	0	0	0	0	0	0
"CUT001"	0	0.893140924594269	0	1.00791823876256	0.977568259897672	0	1.0364473317712	0	0	0.925423794244941
"CUT437"	0	0	0	0	0	0	0	0	0	0
"CUT_CAL063CD1-C"	0	0	0	0	0	0	0	0	0	0
"YAL062W"	0.899640109473036	1.78628184918854	5	0	1.95513651979534	0	0	2.94153020113411	0	0
"possible_antisense_to_genes_GDH3"	5.39784065683822	9.82455017053696	13	13.1029371039133	5.86540955938603	10.0071712649199	5.18223665885598	8.82459060340232	11.4713765140224	8.32881414820447
"SUT434"	1.79928021894607	0.893140924594269	1	2.01583647752513	1.95513651979534	1.11190791832444	2.07289466354239	3.92204026817881	2.08570482073134	0.925423794244941
"XUT_1R-18"	9.8960412042034	13.397113868914	11	9.07126414886308	6.84297781928371	5.55953959162218	3.10934199531359	11.7661208045364	10.4285241036567	11.1050855309393
"SUT435"	1.79928021894607	2.67942277378281	6	4.03167295505026	1.95513651979534	5.55953959162218	10.364473317712	7.84408053635761	2.08570482073134	5.55254276546965
"YAL061W"	5.39784065683822	3.57256369837708	2	1.00791823876256	0	2.22381583664887	0	3.92204026817881	0	2.77627138273482
"CUT_CAL061WTs2"	0	0	0	0	0	0	0	0	0	0
"CUT438"	0	0	0	0	0	0	0	0	1.04285241036567	0
"CUT_CAL060WTs1"	0	0	0	0	0	1.11190791832444	0	0	0	0
"XUT_1R-20"	0.899640109473036	0	0	0	0	0	0	0	0	0
"YAL060W"	34.1863241599754	34.8324960591765	27	47.3721572218405	27.3719112771348	42.2525008963286	35.2392092802206	31.3763221454305	25.0284578487761	34.2406803870628
"CUT439"	0	0	3	1.00791823876256	0.977568259897672	1.11190791832444	1.0364473317712	0	1.04285241036567	0.925423794244941
"YAL059C-A"	0	0	0	0	0	0	0	0	0	0
"YAL059W"	5.39784065683822	3.57256369837708	11	8.06334591010052	15.6410921583628	1.11190791832444	7.25513132239837	15.6881610727152	7.29996687255971	5.55254276546965
"YAL058W"	15.2938818610416	21.4353821902625	14	18.1425282977262	20.5289334578511	16.6786187748665	11.4009206494832	14.7076510056705	19.8141957969478	20.3593234733887
"YAL056C-A"	0	0	0	1.00791823876256	0	0	0	0	0	0
"YAL056W"	21.5913626273529	17.8628184918854	18	18.1425282977262	33.2373208365209	18.9024346115154	22.8018412989663	17.6491812068046	19.8141957969478	13.8813569136741
"MUT13.1"	0	0	0	0	0	0	0	0	0	0
"MUT13.2"	0	0	0	0	0	0	0	0	0	0
"YAL055W"	1.79928021894607	0.893140924594269	2	2.01583647752513	2.93270477969302	2.22381583664887	0	0	0	2.77627138273482
"YAL054C"	1.79928021894607	1.78628184918854	4	2.01583647752513	0.977568259897672	1.11190791832444	0	0	1.04285241036567	0
"CUT_CAL054CC3-A"	0	0	0	0	0	0	0	0	0	0
"XUT_1F-23"	3.59856043789215	0.893140924594269	1	3.02375471628769	4.88784129948836	3.33572375497331	5.18223665885598	1.9610201340894	1.04285241036567	2.77627138273482
"CUT_CAL054CC3-B"	0	0	0	0	0	0	0	0	0	0
"possible_antisense_to_genes_ACS1"	0.899640109473036	0.893140924594269	1	0	0.977568259897672	1.11190791832444	3.10934199531359	2.94153020113411	1.04285241036567	0.925423794244941
"SUT002"	1.79928021894607	2.67942277378281	1	0	0.977568259897672	1.11190791832444	2.07289466354239	1.9610201340894	1.04285241036567	1.85084758848988
"XUT_1F-25"	0	0	0	0	0	0	0	0	0	1.85084758848988
"YAL053W"	49.480206021017	51.8021736264676	51	66.5226037583293	60.6092321136557	40.0286850596797	54.9317085838734	62.7526442908609	52.1426205182836	55.5254276546965
"YAL051W"	11.6953214231495	25.0079458886395	16	18.1425282977262	23.4616382375441	18.9024346115154	22.8018412989663	16.6686711397599	19.8141957969478	23.1355948561235
"YAL049C"	17.0931620799877	24.1148049640453	16	10.0791823876256	16.6186604182604	10.0071712649199	5.18223665885598	9.80510067044702	16.6856385658508	17.5830520906539
